EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5146590,HENRY CO.,GENESEO,05/18/2000,1409,Tornado, ,F0,0,0,0,0,IL,CST, ,1095836,C,73,DVN,0,0,AMATEUR RADIO, ,.1,10,3,S,3,S,GENESEO,05/18/2000,1409,41.4,-90.15,41.4,-90.15,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",17
5146591,HENRY CO.,WOODHULL,05/18/2000,1411,Tornado, ,F0,0,0,0,0,IL,CST, ,1095836,C,73,DVN,0,0,LAW ENFORCEMENT, ,.1,10,2,N,2,N,WOODHULL,05/18/2000,1411,41.21667,-90.31667,41.21667,-90.31667,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",18
5146601,HENRY CO.,GALVA,05/18/2000,1434,Tornado, ,F0,0,0,0,0,IL,CST, ,1095836,C,73,DVN,0,0,LAW ENFORCEMENT, ,.1,10,3,N,3,N,GALVA,05/18/2000,1434,41.21667,-90.05,41.21667,-90.05,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",19
5146592,BUREAU CO.,MANLIUS,05/18/2000,1450,Tornado, ,F0,0,0,15000,0,IL,CST, ,1095836,C,11,DVN,0,0,EMERGENCY MANAGER, ,.1,10, , , , ,MANLIUS,05/18/2000,1450,41.45,-89.66667,41.45,-89.66667,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",20
5146593,BUREAU CO.,NEPONSET,05/18/2000,1500,Tornado, ,F0,0,0,10000,0,IL,CST, ,1095836,C,11,DVN,0,0,EMERGENCY MANAGER, ,.1,10, , , , ,NEPONSET,05/18/2000,1500,41.3,-89.8,41.3,-89.8,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",21
5144588,LA SALLE CO.,LOSTANT,05/18/2000,1605,Tornado, ,F0,0,0,0,0,IL,CST, ,1095215,C,99,LOT,0,0,TRAINED SPOTTER, ,3,100,5,SW,5,SW,LOSTANT,05/18/2000,1608,41.1,-89.13333,41.13333,-89.1,"A trained spotter observed a tornado over a rural area southwest of Lostant. It lasted about 3 or 4  minutes before dissipating. No damage was reported.","A severe storm moved northeast across LaSalle, Kendall, Will and southern Cook Counties. It produced hail from 3/4 to golf ball size. The storm also produced wind damage in Kendall County and in southern Cook County. Kendall County emergency management reported large branches down along Route 52, and siding and roof damage to homes 10 to12 miles southwest of Yorkville. Power lines and trees were down blocking roads 10 to 20 miles southeast of Yorkville and also in Oswego. A spotter estimated winds to be 65 mph at Calumet City. The Chicago 911 center reported trees down, cars damaged in the 6700 block of South Green Street.",22
5148873,WOODFORD CO.,METAMORA,05/18/2000,1618,Tornado, ,F0,0,1,5000,0,IL,CST, ,1096601,C,203,ILX,0,0,NWS STORM SURVEY, ,.2,20,1,W,1,W,METAMORA,05/18/2000,1618,40.78333,-89.36667,40.78333,-89.36667,"A tornado briefly touched down half a mile west of Metamora just south of Illinois Route 116.  A teenager was driving through the area.  His car was flipped several times into a field.  Fortunately he only suffered some cuts and bruises, but his 1997 Cavalier was totaled.  No other damage or injuries were reported.","",23
5144683,LIVINGSTON CO.,BLACKSTONE,05/18/2000,1635,Tornado, ,F0,0,0,0,0,IL,CST, ,1095216,C,105,LOT,0,0,FIRE DEPT/RESCUE SQUAD, ,.5,50, , , , ,BLACKSTONE,05/18/2000,1635,41.08333,-88.68333,41.08333,-88.68333,"","A supercell thunderstorm moved east from northern Livingston County to Kankakee County, producing several brief tornado touchdowns. The first sighting was at Blackstone. State police reported a brief touchdown near Odell at I-55. The Kankakee County sheriff's department reported a tornado just west of Union Hill. A police officer who is also a trained spotter saw a tornado touch down near Herscher. Trees were blown down in and a flag pole was bent over in Herscher.  A car was blown off the road and flipped over by high winds or possibly the tornado just west of Herscher.",24
5144684,LIVINGSTON CO.,ODELL,05/18/2000,1650,Tornado, ,F0,0,0,0,0,IL,CST, ,1095216,C,105,LOT,0,0,LAW ENFORCEMENT, ,.5,50, , , , ,ODELL,05/18/2000,1650,41,-88.51667,41,-88.51667,"","A supercell thunderstorm moved east from northern Livingston County to Kankakee County, producing several brief tornado touchdowns. The first sighting was at Blackstone. State police reported a brief touchdown near Odell at I-55. The Kankakee County sheriff's department reported a tornado just west of Union Hill. A police officer who is also a trained spotter saw a tornado touch down near Herscher. Trees were blown down in and a flag pole was bent over in Herscher.  A car was blown off the road and flipped over by high winds or possibly the tornado just west of Herscher.",25
5144687,LIVINGSTON CO.,FAIRBURY,05/18/2000,1700,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,105,LOT,0,0,LAW ENFORCEMENT, ,.5,50, , , , ,FAIRBURY,05/18/2000,1700,40.75,-88.51667,40.75,-88.51667,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",26
5144685,KANKAKEE CO.,UNION HILL,05/18/2000,1710,Tornado, ,F0,0,0,0,0,IL,CST, ,1095216,C,91,LOT,0,0,LAW ENFORCEMENT, ,.5,50,1,W,1,W,UNION HILL,05/18/2000,1710,41.11667,-88.16667,41.11667,-88.16667,"","A supercell thunderstorm moved east from northern Livingston County to Kankakee County, producing several brief tornado touchdowns. The first sighting was at Blackstone. State police reported a brief touchdown near Odell at I-55. The Kankakee County sheriff's department reported a tornado just west of Union Hill. A police officer who is also a trained spotter saw a tornado touch down near Herscher. Trees were blown down in and a flag pole was bent over in Herscher.  A car was blown off the road and flipped over by high winds or possibly the tornado just west of Herscher.",27
5144686,KANKAKEE CO.,HERSCHER,05/18/2000,1710,Tornado,50,F0,0,0,0,0,IL,CST,E,1095216,C,91,LOT,0,0,LAW ENFORCEMENT, ,.5,50,1,W,1,W,HERSCHER,05/18/2000,1710,41.05,-88.11667,41.05,-88.1,"","A supercell thunderstorm moved east from northern Livingston County to Kankakee County, producing several brief tornado touchdowns. The first sighting was at Blackstone. State police reported a brief touchdown near Odell at I-55. The Kankakee County sheriff's department reported a tornado just west of Union Hill. A police officer who is also a trained spotter saw a tornado touch down near Herscher. Trees were blown down in and a flag pole was bent over in Herscher.  A car was blown off the road and flipped over by high winds or possibly the tornado just west of Herscher.",28
5144688,LIVINGSTON CO.,CHATSWORTH,05/18/2000,1745,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,105,LOT,0,0,TRAINED SPOTTER, ,.5,50, , , , ,CHATSWORTH,05/18/2000,1745,40.75,-88.28333,40.75,-88.28333,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",29
5144690,FORD CO.,GIBSON CITY,05/18/2000,1810,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,53,LOT,0,0,TRAINED SPOTTER, ,.5,50, , , , ,GIBSON CITY,05/18/2000,1810,40.46667,-88.36667,40.46667,-88.36667,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",30
5148944,LOGAN CO.,BEASON,05/18/2000,1812,Tornado, ,F0,0,0,0,0,IL,CST, ,1096601,C,107,ILX,0,0,EMERGENCY MANAGER, ,2.5,20,3,N,3,N,BEASON,05/18/2000,1814,40.2,-89.2,40.18333,-89.15,"A tornado touched down 3 miles north of Beason in a field and traveled to the east before lifting and dissipating 4 miles northeast of Beason.  No damage was reported.","",31
5148945,MCLEAN CO.,LE ROY,05/18/2000,1813,Tornado, ,F0,0,0,0,0,IL,CST, ,1096601,C,113,ILX,0,0,LAW ENFORCEMENT, ,.1,20,4,W,4,W,LE ROY,05/18/2000,1813,40.35,-88.85,40.35,-88.85,"A tornado briefly touched down in a field.  No injuries or damage were reported.","",32
5145032,IROQUOIS CO.,ASHKUM,05/18/2000,1820,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,75,LOT,0,0,LAW ENFORCEMENT, ,.5,50,2,W,2,W,ASHKUM,05/18/2000,1820,40.88333,-87.98333,40.88333,-87.98333,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",33
5149221,MCLEAN CO.,LE ROY,05/18/2000,1825,Tornado, ,F0,0,0,0,0,IL,CST, ,1096601,C,113,ILX,0,0,LAW ENFORCEMENT, ,.1,20,1,W,1,W,LE ROY,05/18/2000,1825,40.35,-88.78333,40.35,-88.78333,"Another tornado touched down in a field 1 mile west of LeRoy.  No injuries or damage were reported.","",34
5145030,FORD CO.,GIBSON CITY,05/18/2000,1830,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,53,LOT,0,0,EMERGENCY MANAGER, ,.5,50,4,S,4,S,GIBSON CITY,05/18/2000,1830,40.41667,-88.36667,40.41667,-88.36667,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",35
5145031,FORD CO.,PAXTON,05/18/2000,1840,Tornado, ,F0,0,0,0,0,IL,CST, ,1095217,C,53,LOT,0,0,LAW ENFORCEMENT, ,.5,50,2,SW,2,SW,PAXTON,05/18/2000,1840,40.45,-88.13333,40.45,-88.13333,"","Several supercell storms moved through southeast Livingston, Ford and northern Iroquois Counties, then more storms developed and moved through southern Ford County. There were several reports of tornadoes on the ground in rural areas but no damage was reported. The first sighting was near Faibury, relayed by State Police. Later a tornado was reported near Chatsworth by a trained spotter. Storms blew down trees in Papineau. State police reported a tornado west of Ashkum. A tornado was reported near Gibson City by a spotter. Later another tornado was reported by emergency management south of Gibson City. Another sighting was southwest of Paxton by State Police. No damage was reported with any of the tornadoes.",36
5149222,CHAMPAIGN CO.,THOMASBORO,05/18/2000,1845,Tornado, ,F0,0,0,0,0,IL,CST, ,1096601,C,19,ILX,0,0,EMERGENCY MANAGER, ,.1,10,2,NW,2,NW,THOMASBORO,05/18/2000,1845,40.25,-88.2,40.25,-88.2,"A tornado briefly touched down in a field 1.5 miles northwest of Thomasboro.  No injuries or damage were reported.","",37
